time_s,road_mm,baseline_mm,revised_mm
4.33400000,-5.00000000,-4.99724601,-5.00025771
4.33900000,-5.00000000,-4.99784525,-4.99994166
4.34400000,-5.00000000,-4.99862598,-4.99966195
4.34900000,-5.00000000,-4.99948053,-4.99942200
4.35400000,-5.00000000,-5.00030416,-4.99922377
4.35900000,-5.00000000,-5.00100666,-4.99906793
4.36400000,-5.00000000,-5.00152105,-4.99895393
4.36900000,-5.00000000,-5.00180876,-4.99888018
4.37400000,-5.00000000,-5.00186096,-4.99884421
4.37900000,-5.00000000,-5.00169650,-4.99884280
4.38400000,-5.00000000,-5.00135683,-4.99887220
4.38900000,-5.00000000,-5.00089892,-4.99892822
4.39400000,-5.00000000,-5.00038716,-4.99900645
4.39900000,-5.00000000,-4.99988528,-4.99910237
4.40400000,-5.00000000,-4.99944920,-4.99921151
4.40900000,-5.00000000,-4.99912148,-4.99932950
4.41400000,-5.00000000,-4.99892791,-4.99945226
4.41900000,-5.00000000,-4.99887635,-4.99957600
4.42400000,-5.00000000,-4.99895771,-4.99969734
4.42900000,-5.00000000,-4.99914880,-4.99981334
4.43400000,-5.00000000,-4.99941637,-4.99992151
4.43900000,-5.00000000,-4.99972204,-5.00001984
4.44400000,-5.00000000,-5.00002710,-5.00010682
4.44900000,-5.00000000,-5.00029700,-5.00018139
4.45400000,-5.00000000,-5.00050482,-5.00024295
4.45900000,-5.00000000,-5.00063351,-5.00029130
4.46400000,-5.00000000,-5.00067677,-5.00032660
4.46900000,-5.00000000,-5.00063869,-5.00034938
4.47400000,-5.00000000,-5.00053214,-5.00036039
4.47900000,-5.00000000,-5.00037641,-5.00036065
4.48400000,-5.00000000,-5.00019435,-5.00035132
4.48900000,-5.00000000,-5.00000937,-5.00033373
4.49400000,-5.00000000,-4.99984279,-5.00030923
4.49900000,-5.00000000,-4.99971156,-5.00027924
4.50400000,-5.00000000,-4.99962687,-5.00024516
4.50900000,-5.00000000,-4.99959342,-5.00020834
4.51400000,-5.00000000,-4.99960962,-5.00017006
4.51900000,-5.00000000,-4.99966842,-5.00013149
4.52400000,-5.00000000,-4.99975866,-5.00009369
4.52900000,-5.00000000,-4.99986680,-5.00005756
4.53400000,-5.00000000,-4.99997868,-5.00002390
4.53900000,-5.00000000,-5.00008121,-4.99999330
4.54400000,-5.00000000,-5.00016375,-4.99996625
4.54900000,-5.00000000,-5.00021902,-4.99994308
4.55400000,-5.00000000,-5.00024363,-4.99992396
4.55900000,-5.00000000,-5.00023801,-4.99990896
4.56400000,-5.00000000,-5.00020597,-4.99989803
4.56900000,-5.00000000,-5.00015393,-4.99989100
4.57400000,-5.00000000,-5.00008989,-4.99988763
4.57900000,-5.00000000,-5.00002239,-4.99988760
4.58400000,-5.00000000,-4.99995944,-4.99989056
4.58900000,-5.00000000,-4.99990772,-4.99989609
4.59400000,-5.00000000,-4.99987191,-4.99990376
4.59900000,-5.00000000,-4.99985440,-4.99991313
4.60400000,-5.00000000,-4.99985525,-4.99992377
4.60900000,-5.00000000,-4.99987244,-4.99993526
4.61400000,-5.00000000,-4.99990229,-4.99994720
4.61900000,-5.00000000,-4.99994010,-4.99995922
4.62400000,-5.00000000,-4.99998072,-4.99997100
4.62900000,-5.00000000,-5.00001926,-4.99998225
4.63400000,-5.00000000,-5.00005156,-4.99999273
4.63900000,-5.00000000,-5.00007462,-5.00000225
4.64400000,-5.00000000,-5.00008678,-5.00001066
4.64900000,-5.00000000,-5.00008782,-5.00001786
4.65400000,-5.00000000,-5.00007878,-5.00002380
4.65900000,-5.00000000,-5.00006175,-5.00002845
4.66400000,-5.00000000,-5.00003951,-5.00003184
4.66900000,-5.00000000,-5.00001512,-5.00003401
4.67400000,-5.00000000,-4.99999158,-5.00003504
4.67900000,-5.00000000,-4.99997148,-5.00003503
4.68400000,-5.00000000,-4.99995672,-5.00003409
4.68900000,-5.00000000,-4.99994842,-5.00003236
4.69400000,-5.00000000,-4.99994686,-5.00002995
4.69900000,-5.00000000,-4.99995148,-5.00002702
